--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                                                                                            Time             CPU   Iterations
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_stddev                                                      13.5 ns         23.0 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_min                                                          696 ns         2573 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_mean                                                                                               8479 ns         8461 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_median                                                                                             8534 ns         8510 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_stddev                                                                                              120 ns          113 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_min                                                                                                8303 ns         8294 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_mean                                                                                               5710 ns        11201 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_median                                                                                             5681 ns        11080 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_stddev                                                                                              416 ns          761 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_min                                                                                                5196 ns        10291 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_mean                                                                                               5060 ns        18337 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_median                                                                                             5035 ns        18353 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_stddev                                                                                             93.7 ns          111 ns           10
create_and_push<std::vector <INNER_DATATYPE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_min                                                                                                4941 ns        18139 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_mean                                                                                                                  8892 ns         8861 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_median                                                                                                                8883 ns         8852 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_stddev                                                                                                                 205 ns          201 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_min                                                                                                                   8631 ns         8604 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_mean                                                                                                                  6699 ns        13101 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_median                                                                                                                6459 ns        12639 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_stddev                                                                                                                 972 ns         1746 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_min                                                                                                                   5458 ns        10807 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_mean                                                                                                                  5466 ns        19010 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_median                                                                                                                5379 ns        18997 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_stddev                                                                                                                 273 ns          240 ns           10
create_and_push_and_reserve<RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_min                                                                                                                   5105 ns        18663 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_mean                                                                          2424 ns         2401 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_median                                                                        2424 ns         2401 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_stddev                                                                         138 ns          126 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_min                                                                           2248 ns         2232 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_mean                                                                          1413 ns         2780 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_median                                                                        1406 ns         2771 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_stddev                                                                        77.7 ns          148 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_min                                                                           1288 ns         2566 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_mean                                                                          1359 ns         4879 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_median                                                                        1337 ns         4883 ns           10
