--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                                                                                            Time             CPU   Iterations
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:4_stddev                                                             254 ns          794 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, OVERFULL>/real_time/threads:4_min                                                               9737 ns        36463 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean                            13033 ns        12965 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median                          13179 ns        13102 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev                            945 ns          947 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min                             11947 ns        11936 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean                             7191 ns        14336 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median                           7151 ns        14270 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev                           75.5 ns          129 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min                              7138 ns        14244 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean                             5084 ns        18749 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median                           5067 ns        18919 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev                            190 ns          437 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min                              4874 ns        17918 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_mean                             3492 ns         3442 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_median                           3561 ns         3546 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_stddev                            151 ns          177 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_min                              3159 ns         3154 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_mean                             1850 ns         3668 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_median                           1841 ns         3670 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_stddev                           71.1 ns          123 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_min                              1767 ns         3522 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_mean                             1770 ns         6538 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_median                           1767 ns         6516 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_stddev                           25.9 ns         50.8 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_min                              1738 ns         6475 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:1_mean                             16574 ns        16530 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:1_median                           16425 ns        16371 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:1_stddev                             425 ns          405 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:1_min                              16235 ns        16220 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:2_mean                              9749 ns        19125 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:2_median                            9671 ns        19189 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:2_stddev                             193 ns          544 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:2_min                               9632 ns        18055 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:4_mean                              7540 ns        27997 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:4_median                            7539 ns        27970 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:4_stddev                            55.2 ns          225 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:4_min                               7469 ns        27574 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean                       18673 ns        18630 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median                     18655 ns        18624 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev                      77.7 ns         52.2 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min                        18579 ns        18557 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean                       11063 ns        21843 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median                     11059 ns        21894 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev                      59.7 ns          276 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min                        10988 ns        21142 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean                        9017 ns        33371 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median                      9002 ns        33398 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev                       149 ns          415 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min                         8812 ns        32729 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_mean                       10830 ns        10816 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_median                     10828 ns        10815 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_stddev                      44.3 ns         43.5 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_min                        10764 ns        10751 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_mean                        6407 ns        12415 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_median                      6473 ns        12666 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_stddev                       213 ns          687 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_min                         6053 ns        11330 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_mean                        6515 ns        24119 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_median                      6524 ns        24047 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_stddev                      80.5 ns          292 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_min                         6404 ns        23810 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_mean                        27540 ns        27466 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_median                      27516 ns        27442 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_stddev                        130 ns          124 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:1_min                         27445 ns        27374 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_mean                        15863 ns        31652 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_median                      15849 ns        31616 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_stddev                       54.9 ns          108 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:2_min                         15811 ns        31554 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_mean                        12359 ns        45922 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_median                      12405 ns        46104 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_stddev                        209 ns          692 ns           10
create_and_push_with_std_allocator<std::vector<INNER_DATATYPE, std::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, OVERFULL>/real_time/threads:4_min                         11920 ns        44428 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean             13562 ns        13517 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median           13546 ns        13502 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev            63.2 ns         64.3 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min              13478 ns        13423 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean              7184 ns        14303 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median            7165 ns        14276 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev            46.8 ns          115 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min               7147 ns        14107 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean              5260 ns        19514 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median            5297 ns        19664 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev             151 ns          500 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min               4966 ns        18547 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_mean              3746 ns         3733 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_median            3831 ns         3819 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_stddev             259 ns          255 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_min               3401 ns         3396 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_mean              2402 ns         4737 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_median            2352 ns         4684 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_stddev             252 ns          434 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_min               2124 ns         4232 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_mean              2240 ns         7344 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_median            2168 ns         7360 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_stddev             275 ns          142 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_min               1952 ns         7123 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:1_mean              19570 ns        19411 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:1_median            19370 ns        19310 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:1_stddev              592 ns          267 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:1_min               19297 ns        19266 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:2_mean              11483 ns        22492 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:2_median            11421 ns        22746 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:2_stddev              156 ns          683 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:2_min               11336 ns        21133 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:4_mean               8261 ns        29994 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:4_median             8161 ns        30051 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:4_stddev              393 ns          395 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, RESERVE_STORAGE, OVERFULL>/real_time/threads:4_min                7801 ns        29139 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean        18788 ns        18755 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median      18792 ns        18746 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev       74.9 ns         70.2 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min         18660 ns        18639 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean        11573 ns        22485 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median      11549 ns        22430 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev        358 ns          892 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min         11153 ns        21075 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean        10187 ns        37403 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median      10205 ns        37418 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev       96.8 ns          269 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min         10056 ns        36871 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_mean        11159 ns        11135 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_median      11054 ns        11042 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_stddev        309 ns          280 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_min         10949 ns        10938 ns           10
create_and_push_with_boost_allocator<std::vector<INNER_DATATYPE, boost::container::pmr::polymorphic_allocator<INNER_DATATYPE>>, DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_mean         7668 ns        14989 ns           10
